,medal_type,participant_type,athlete_country,host_country,game_year
0,silver,Athlete,roc,japan,2020
1,bronze,Athlete,roc,japan,2020
2,gold,Athlete,switzerland,japan,2020
3,bronze,Athlete,serbia,japan,2020
4,gold,Athlete,people's republic of china,japan,2020
5,silver,Athlete,roc,japan,2020
6,gold,Athlete,france,japan,2020
7,silver,Athlete,cuba,japan,2020
8,bronze,Athlete,people's republic of china,japan,2020
9,bronze,Athlete,people's republic of china,japan,2020
10,silver,Athlete,people's republic of china,japan,2020
11,gold,Athlete,united states of america,japan,2020
12,bronze,Athlete,switzerland,japan,2020
13,gold,Athlete,people's republic of china,japan,2020
14,silver,Athlete,roc,japan,2020
15,gold,Athlete,czech republic,japan,2020
16,silver,Athlete,czech republic,japan,2020
17,bronze,Athlete,great britain,japan,2020
18,silver,Athlete,italy,japan,2020
19,bronze,Athlete,people's republic of china,japan,2020
20,gold,Athlete,united states of america,japan,2020
21,bronze,Athlete,san marino,japan,2020
22,gold,Athlete,slovakia,japan,2020
23,silver,Athlete,united states of america,japan,2020
24,gold,Athlete,roc,japan,2020
25,silver,Athlete,bulgaria,japan,2020
26,bronze,Athlete,people's republic of china,japan,2020
27,bronze,Athlete,people's republic of china,japan,2020
28,gold,Athlete,roc,japan,2020
29,silver,Athlete,republic of korea,japan,2020
30,silver,Athlete,serbia,japan,2020
31,bronze,Athlete,people's republic of china,japan,2020
32,gold,Athlete,islamic republic of iran,japan,2020
33,bronze,Athlete,kuwait,japan,2020
34,gold,Athlete,united states of america,japan,2020
35,silver,Athlete,denmark,japan,2020
36,bronze,Athlete,great britain,japan,2020
37,silver,Athlete,people's republic of china,japan,2020
38,gold,Athlete,people's republic of china,japan,2020
39,silver,Athlete,people's republic of china,japan,2020
40,bronze,Athlete,australia,japan,2020
41,gold,Athlete,people's republic of china,japan,2020
42,bronze,Athlete,great britain,japan,2020
43,silver,Athlete,people's republic of china,japan,2020
44,gold,Athlete,people's republic of china,japan,2020
45,silver,Athlete,people's republic of china,japan,2020
46,gold,Athlete,people's republic of china,japan,2020
47,bronze,Athlete,united states of america,japan,2020
48,silver,Athlete,canada,japan,2020
49,bronze,Athlete,ukraine,japan,2020
50,gold,Athlete,united states of america,japan,2020
51,gold,Athlete,new zealand,japan,2020
52,bronze,Athlete,denmark,japan,2020
53,silver,Athlete,spain,japan,2020
54,gold,Athlete,new zealand,japan,2020
55,silver,Athlete,hungary,japan,2020
56,bronze,Athlete,denmark,japan,2020
57,bronze,Athlete,republic of moldova,japan,2020
58,silver,Athlete,people's republic of china,japan,2020
59,gold,Athlete,brazil,japan,2020
60,silver,Athlete,hungary,japan,2020
61,gold,Athlete,hungary,japan,2020
62,bronze,Athlete,portugal,japan,2020
63,bronze,Athlete,great britain,japan,2020
64,gold,Athlete,hungary,japan,2020
65,silver,Athlete,italy,japan,2020
