,host_country,game_year,event,medal_type,athlete_country
0,japan,2020,shooting - 50m rifle 3 positions women,silver,roc
1,japan,2020,shooting - 50m rifle 3 positions women,bronze,roc
2,japan,2020,shooting - 50m rifle 3 positions women,gold,switzerland
3,japan,2020,shooting - 50m rifle 3 positions men,bronze,serbia
4,japan,2020,shooting - 50m rifle 3 positions men,gold,china
5,japan,2020,shooting - 50m rifle 3 positions men,silver,roc
6,japan,2020,shooting - 25m rapid fire pistol men,gold,france
7,japan,2020,shooting - 25m rapid fire pistol men,silver,cuba
8,japan,2020,shooting - 25m rapid fire pistol men,bronze,china
9,japan,2020,shooting - 10m air rifle men,bronze,china
10,japan,2020,shooting - 10m air rifle men,silver,china
11,japan,2020,shooting - 10m air rifle men,gold,usa
12,japan,2020,shooting - 10m air rifle women,bronze,switzerland
13,japan,2020,shooting - 10m air rifle women,gold,china
14,japan,2020,shooting - 10m air rifle women,silver,roc
15,japan,2020,shooting - trap men,gold,czechia
16,japan,2020,shooting - trap men,silver,czechia
17,japan,2020,shooting - trap men,bronze,great britain
18,japan,2020,shooting - skeet women,silver,italy
19,japan,2020,shooting - skeet women,bronze,china
20,japan,2020,shooting - skeet women,gold,usa
21,japan,2020,shooting - trap women,bronze,san marino
22,japan,2020,shooting - trap women,gold,slovakia
23,japan,2020,shooting - trap women,silver,usa
24,japan,2020,shooting - 10m air pistol women,gold,roc
25,japan,2020,shooting - 10m air pistol women,silver,bulgaria
26,japan,2020,shooting - 10m air pistol women,bronze,china
27,japan,2020,shooting - 25m pistol women,bronze,china
28,japan,2020,shooting - 25m pistol women,gold,roc
29,japan,2020,shooting - 25m pistol women,silver,south korea
30,japan,2020,shooting - 10m air pistol men,silver,serbia
31,japan,2020,shooting - 10m air pistol men,bronze,china
32,japan,2020,shooting - 10m air pistol men,gold,iran
33,japan,2020,shooting - skeet men,bronze,kuwait
34,japan,2020,shooting - skeet men,gold,usa
35,japan,2020,shooting - skeet men,silver,denmark
36,japan,2020,diving - men's 3m springboard,bronze,great britain
37,japan,2020,diving - men's 3m springboard,silver,china
38,japan,2020,diving - men's 3m springboard,gold,china
39,japan,2020,diving - women's 10m platform,silver,china
40,japan,2020,diving - women's 10m platform,bronze,australia
41,japan,2020,diving - women's 10m platform,gold,china
42,japan,2020,diving - men's 10m platform,bronze,great britain
43,japan,2020,diving - men's 10m platform,silver,china
44,japan,2020,diving - men's 10m platform,gold,china
45,japan,2020,diving - women's 3m springboard,silver,china
46,japan,2020,diving - women's 3m springboard,gold,china
47,japan,2020,diving - women's 3m springboard,bronze,usa
48,japan,2020,canoe sprint - women's canoe single 200m,silver,canada
49,japan,2020,canoe sprint - women's canoe single 200m,bronze,ukraine
50,japan,2020,canoe sprint - women's canoe single 200m,gold,usa
51,japan,2020,canoe sprint - women's kayak single 200m,gold,new zealand
52,japan,2020,canoe sprint - women's kayak single 200m,bronze,denmark
53,japan,2020,canoe sprint - women's kayak single 200m,silver,spain
54,japan,2020,canoe sprint - women's kayak single 500m,gold,new zealand
55,japan,2020,canoe sprint - women's kayak single 500m,silver,hungary
56,japan,2020,canoe sprint - women's kayak single 500m,bronze,denmark
57,japan,2020,canoe sprint - men's canoe single 1000m,bronze,republic of moldova
58,japan,2020,canoe sprint - men's canoe single 1000m,silver,china
59,japan,2020,canoe sprint - men's canoe single 1000m,gold,brazil
60,japan,2020,canoe sprint - men's kayak single 1000m,silver,hungary
61,japan,2020,canoe sprint - men's kayak single 1000m,gold,hungary
62,japan,2020,canoe sprint - men's kayak single 1000m,bronze,portugal
63,japan,2020,canoe sprint - men's kayak single 200m,bronze,great britain
64,japan,2020,canoe sprint - men's kayak single 200m,gold,hungary
65,japan,2020,canoe sprint - men's kayak single 200m,silver,italy
66,japan,2020,cycling road - women's road race,silver,netherlands
67,japan,2020,cycling road - women's road race,gold,austria
68,japan,2020,cycling road - women's road race,bronze,italy
69,japan,2020,cycling road - women's individual time trial,bronze,netherlands
70,japan,2020,cycling road - women's individual time trial,gold,netherlands
71,japan,2020,cycling road - women's individual time trial,silver,switzerland
72,japan,2020,cycling road - men's individual time trial,gold,slovenia
73,japan,2020,cycling road - men's individual time trial,bronze,australia
74,japan,2020,cycling road - men's individual time trial,silver,netherlands
75,japan,2020,cycling road - men's road race,gold,ecuador
76,japan,2020,cycling road - men's road race,bronze,slovenia
77,japan,2020,cycling road - men's road race,silver,belgium
