country_name,continent,hemisphere
afghanistan,asia,northern
albania,europe,northern
algeria,africa,northern
argentina,south america,southern
armenia,asia,northern
australia,oceania,southern
austria,europe,northern
azerbaijan,"europe, asia",northern
bahamas,north america,northern
bahrain,asia,northern
barbados,north america,northern
belarus,europe,northern
belgium,europe,northern
bermuda,north america,northern
botswana,africa,southern
brazil,south america,equator
bulgaria,europe,northern
burkina faso,africa,northern
burundi,africa,southern
côte d'ivoire,africa,northern
cabo verde,africa,northern
cameroon,africa,northern
canada,north america,northern
chile,south america,southern
china,asia,northern
chinese taipei,asia,northern
colombia,south america,equator
costa rica,north america,northern
croatia,europe,northern
cuba,north america,northern
cyprus,europe,northern
czechia,europe,northern
czechoslovakia,europe,northern
denmark,europe,northern
djibouti,africa,northern
dominica,north america,northern
dominican republic,north america,northern
ecuador,south america,equator
egypt,"africa, asia",northern
eor,na,na
eritrea,africa,northern
estonia,europe,northern
ethiopia,africa,northern
federal republic of germany,europe,northern
fiji,oceania,southern
finland,europe,northern
france,europe,northern
gabon,africa,equator
georgia,"europe, asia",northern
german democratic republic (germany),europe,northern
germany,europe,northern
ghana,africa,northern
great britain,europe,northern
greece,europe,northern
grenada,north america,northern
guatemala,north america,northern
guyana,south america,northern
haiti,north america,northern
"hong kong, china",asia,northern
hungary,europe,northern
iceland,europe,northern
independent olympic athletes,na,na
india,asia,northern
individual neutral athletes,na,na
indonesia,asia,equator
iran,asia,northern
iraq,asia,northern
ireland,europe,northern
israel,asia,northern
italy,europe,northern
jamaica,north america,northern
japan,asia,northern
jordan,asia,northern
kazakhstan,"europe, asia",northern
kenya,africa,equator
kosovo,europe,northern
kuwait,asia,northern
kyrgyzstan,asia,northern
latvia,europe,northern
lebanon,asia,northern
lithuania,europe,northern
luxembourg,europe,northern
malaysia,asia,northern
mauritius,africa,southern
mexico,north america,northern
mongolia,asia,northern
montenegro,europe,northern
morocco,africa,northern
mozambique,africa,southern
namibia,africa,southern
netherlands,europe,northern
netherlands antilles,north america,northern
new zealand,oceania,southern
niger,africa,northern
nigeria,africa,northern
north korea,asia,northern
north macedonia,europe,northern
norway,europe,northern
pakistan,asia,northern
panama,north america,northern
paraguay,south america,southern
peru,south america,southern
philippines,asia,northern
poland,europe,northern
portugal,europe,northern
puerto rico,north america,northern
qatar,asia,northern
republic of moldova,europe,northern
roc,"europe, asia",northern
romania,europe,northern
russian federation,"europe, asia",northern
saint lucia,north america,northern
samoa,oceania,southern
san marino,europe,northern
saudi arabia,asia,northern
senegal,africa,northern
serbia,europe,northern
serbia and montenegro,europe,northern
singapore,asia,northern
slovakia,europe,northern
slovenia,europe,northern
south africa,africa,southern
south korea,asia,northern
soviet union,"europe, asia",northern
spain,europe,northern
sri lanka,asia,southern
sudan,africa,northern
suriname,south america,northern
sweden,europe,northern
switzerland,europe,northern
syrian arab republic,asia,northern
tajikistan,asia,northern
thailand,asia,northern
togo,africa,northern
tonga,oceania,southern
trinidad and tobago,north america,northern
tunisia,africa,northern
turkey,"europe, asia",northern
turkmenistan,asia,northern
uganda,africa,equator
ukraine,europe,northern
unified team,europe,northern
united arab emirates,asia,northern
united arab republic,"africa, asia",northern
united republic of tanzania,africa,southern
uruguay,south america,southern
usa,north america,northern
uzbekistan,asia,northern
venezuela,south america,northern
vietnam,asia,northern
"virgin islands, us",north america,northern
west indies federation,north america,northern
yugoslavia,europe,northern
zambia,africa,southern
zimbabwe,africa,southern
