event,discipline,sub-discipline
archery - women's individual,archery,archery
archery - men's individual,archery,archery
archery - individual competition men,archery,archery
archery - individual competition women,archery,archery
archery - individual fita olympic round  70m men,archery,archery
archery - individual fita olympic round  70m women,archery,archery
archery - individual fita round men,archery,archery
archery - individual fita round women,archery,archery
archery - moving bird target 33m men,archery,archery
archery - moving bird target 28m men,archery,archery
archery - fixed bird target large birds men,archery,archery
archery - moving bird target 50m men,archery,archery
archery - fixed bird target small birds men,archery,archery
archery - women's team,archery,archery
archery - mixed team,archery,archery
archery - men's team,archery,archery
archery - team competition women,archery,archery
archery - team competition men,archery,archery
archery - team fita olympic round  70m women,archery,archery
archery - team fita olympic round  70m men,archery,archery
archery - teams fita round women,archery,archery
archery - teams fita round men,archery,archery
archery - moving bird target 50m teams men,archery,archery
archery - moving bird target 33m teams men,archery,archery
archery - fixed bird target small bird teams men,archery,archery
archery - moving bird target 28m teams men,archery,archery
archery - fixed bird target large birds teams men,archery,archery
athletics - women's 1500m,athletics,athletics
athletics - men's triple jump,athletics,athletics
athletics - women's 3000m steeplechase,athletics,athletics
athletics - men's shot put,athletics,athletics
athletics - women's long jump,athletics,athletics
athletics - women's 5000m,athletics,athletics
athletics - men's marathon,athletics,athletics
athletics - women's javelin throw,athletics,athletics
athletics - men's 110m hurdles,athletics,athletics
athletics - men's long jump,athletics,athletics
athletics - men's javelin throw,athletics,athletics
athletics - men's 50km race walk,athletics,athletics
athletics - men's 200m,athletics,athletics
athletics - women's 400m,athletics,athletics
athletics - women's 100m,athletics,athletics
athletics - women's marathon,athletics,athletics
athletics - women's triple jump,athletics,athletics
athletics - men's 800m,athletics,athletics
athletics - women's shot put,athletics,athletics
athletics - women's 20km race walk,athletics,athletics
athletics - women's pole vault,athletics,athletics
athletics - women's hammer throw,athletics,athletics
athletics - women's 100m hurdles,athletics,athletics
athletics - men's high jump,athletics,athletics
athletics - women's discus throw,athletics,athletics
"athletics - women's 10,000m",athletics,athletics
athletics - men's hammer throw,athletics,athletics
athletics - men's 3000m steeplechase,athletics,athletics
athletics - women's 800m,athletics,athletics
athletics - men's decathlon,athletics,athletics
athletics - men's 100m,athletics,athletics
athletics - men's pole vault,athletics,athletics
athletics - women's 400m hurdles,athletics,athletics
"athletics - men's 10,000m",athletics,athletics
athletics - men's 400m hurdles,athletics,athletics
athletics - men's discus throw,athletics,athletics
athletics - women's 200m,athletics,athletics
athletics - women's high jump,athletics,athletics
athletics - men's 20km race walk,athletics,athletics
athletics - men's 400m,athletics,athletics
athletics - women's heptathlon,athletics,athletics
athletics - men's 1500m,athletics,athletics
athletics - men's 5000m,athletics,athletics
athletics - hammer throw men,athletics,athletics
athletics - 1500m women,athletics,athletics
athletics - high jump men,athletics,athletics
athletics - 800m men,athletics,athletics
athletics - hammer throw women,athletics,athletics
athletics - 100m men,athletics,athletics
athletics - 50km walk men,athletics,athletics
athletics - pole vault men,athletics,athletics
athletics - 3000m steeplechase women,athletics,athletics
athletics - marathon women,athletics,athletics
athletics - decathlon men,athletics,athletics
athletics - 100m hurdles women,athletics,athletics
athletics - 1500m men,athletics,athletics
athletics - discus throw men,athletics,athletics
athletics - pole vault women,athletics,athletics
athletics - 10000m women,athletics,athletics
athletics - shot put women,athletics,athletics
athletics - 200m men,athletics,athletics
athletics - shot put men,athletics,athletics
athletics - heptathlon women,athletics,athletics
athletics - 5000m women,athletics,athletics
athletics - javelin throw men,athletics,athletics
athletics - triple jump women,athletics,athletics
athletics - marathon men,athletics,athletics
athletics - 400m hurdles men,athletics,athletics
athletics - long jump women,athletics,athletics
athletics - triple jump men,athletics,athletics
athletics - 400m men,athletics,athletics
athletics - discus throw women,athletics,athletics
athletics - 100m women,athletics,athletics
athletics - high jump women,athletics,athletics
athletics - 20km walk men,athletics,athletics
athletics - 110m hurdles men,athletics,athletics
athletics - javelin throw women,athletics,athletics
athletics - 400m hurdles women,athletics,athletics
athletics - 3000m steeplechase men,athletics,athletics
athletics - long jump men,athletics,athletics
athletics - 200m women,athletics,athletics
athletics - 20km race walk women,athletics,athletics
athletics - 5000m men,athletics,athletics
athletics - 800m women,athletics,athletics
athletics - 10000m men,athletics,athletics
athletics - 400m women,athletics,athletics
athletics - 10000m walk women,athletics,athletics
athletics - 3000m women,athletics,athletics
athletics - pentathlon women,athletics,athletics
athletics - 80m hurdles women,athletics,athletics
athletics - 10000m walk men,athletics,athletics
athletics - pentathlon men,athletics,athletics
athletics - cross country individual men,athletics,athletics
athletics - 56lb weight throw 254kg men,athletics,athletics
athletics - 3000m walk men,athletics,athletics
athletics - 4 x 400m relay mixed,athletics,athletics
athletics - women's 4 x 100m relay,athletics,athletics
athletics - women's 4 x 400m relay,athletics,athletics
athletics - men's 4 x 100m relay,athletics,athletics
athletics - men's 4 x 400m relay,athletics,athletics
athletics - 4x400m relay women,athletics,athletics
athletics - 4x400m relay men,athletics,athletics
athletics - 4x100m relay women,athletics,athletics
athletics - 4x100m relay men,athletics,athletics
athletics - cross country team men,athletics,athletics
athletics - 3000m team men,athletics,athletics
athletics - marathon race walk relay mixed,athletics,athletics
badminton - men's singles,badminton,badminton
badminton - women's singles,badminton,badminton
badminton - singles men,badminton,badminton
badminton - singles women,badminton,badminton
badminton - men's doubles,badminton,badminton
badminton - women's doubles,badminton,badminton
badminton - mixed doubles,badminton,badminton
badminton - doubles mixed,badminton,badminton
badminton - doubles men,badminton,badminton
badminton - doubles women,badminton,badminton
baseball - baseball men,baseball/softball,baseball
baseball/softball - baseball,baseball/softball,baseball
baseball/softball - softball,baseball/softball,softball
softball - softball women,baseball/softball,softball
3x3 basketball - men,basketball,3x3 basketball
3x3 basketball - women,basketball,3x3 basketball
basketball - men,basketball,basketball
basketball - women,basketball,basketball
basketball - basketball men,basketball,basketball
basketball - basketball women,basketball,basketball
beach volleyball - women,beach volleyball,beach volleyball
beach volleyball - men,beach volleyball,beach volleyball
